Symbol,Series,Date,Close,Open,High,Low,Volume
HDFC,W3,27-Jul-21,684.95,685,689,675.1,34200
HDFC,EQ,28-Jul-21,2433.95,2417.1,2432.45,2380,3988878
HDFC,W3,28-Jul-21,675.9,655.1,673.8,652,41400
HDFC,EQ,29-Jul-21,2425.8,2424,2433.65,2405.1,3288676
HDFC,W3,29-Jul-21,665.15,666.95,685,662,31800
HDFC,EQ,30-Jul-21,2414.8,2417.95,2464.7,2414.8,4128459
HDFC,W3,30-Jul-21,680,686,690,676.3,14400
HDFC,EQ,02-Aug-21,2441.15,2466,2487,2425.1,5009133
HDFC,W3,02-Aug-21,680,690,705.05,670.2,52200
HDFC,EQ,03-Aug-21,2462.05,2515,2560,2476,5962929
HDFC,W3,03-Aug-21,681.5,695,748.7,690,196800
HDFC,EQ,04-Aug-21,2554.65,2573.3,2681,2565,9604932
HDFC,W3,04-Aug-21,744.05,781.8,815,745.5,148200
HDFC,EQ,05-Aug-21,2676.05,2680,2685,2644.3,4021021
HDFC,W3,05-Aug-21,808.85,803,810,799.95,16800
HDFC,EQ,06-Aug-21,2661.7,2657,2673,2621.4,2139764
HDFC,W3,06-Aug-21,803.95,795,801.95,781,7200
HDFC,EQ,09-Aug-21,2628.1,2632.05,2646.25,2599.9,1751767
HDFC,W3,09-Aug-21,781.65,782,783,757.5,27000
HDFC,EQ,10-Aug-21,2623.9,2634.7,2678.7,2626.85,4690741
HDFC,W3,10-Aug-21,772.45,775,805,775,39000
HDFC,EQ,11-Aug-21,2671.65,2675,2689.5,2633.75,1769627
HDFC,W3,11-Aug-21,792.55,797.95,810,762,49200
HDFC,EQ,12-Aug-21,2658.5,2656.6,2675.25,2646.6,1702479
HDFC,W3,12-Aug-21,770,784.7,784.7,770,8400
HDFC,EQ,13-Aug-21,2668.75,2662,2715,2662,3248615
HDFC,W3,13-Aug-21,777.8,790,811,790,36600
HDFC,EQ,16-Aug-21,2704.15,2696.8,2734.45,2693.8,2465887
HDFC,W3,16-Aug-21,804,816.95,817.5,807,37800
HDFC,EQ,17-Aug-21,2731.15,2729.95,2750,2707.15,2795510
HDFC,W3,17-Aug-21,811.4,807,819,801,48600
HDFC,EQ,18-Aug-21,2738.4,2750,2770.3,2698,2501410
HDFC,W3,18-Aug-21,812.35,824,825,800,46200
HDFC,EQ,20-Aug-21,2710.75,2700,2738.95,2698,3986473
HDFC,W3,20-Aug-21,802,790,810,790,8400
HDFC,EQ,23-Aug-21,2722.05,2745.5,2758.5,2710,1901700
HDFC,W3,23-Aug-21,795,812,812,781.1,33000
HDFC,EQ,24-Aug-21,2721.95,2726,2729.9,2683.95,2984595
HDFC,W3,24-Aug-21,786.2,771,776,767.1,16200
HDFC,EQ,25-Aug-21,2691.25,2707.8,2718.5,2696.25,1714777
HDFC,W3,25-Aug-21,774.5,790,790,790,600
HDFC,EQ,26-Aug-21,2699.25,2711.25,2720,2682.2,1855274
HDFC,W3,26-Aug-21,790,790,790,780,2400
HDFC,EQ,27-Aug-21,2700.35,2694.1,2724.65,2662.05,2761023
HDFC,W3,27-Aug-21,780,755,787,755,10200
