Date,Open,High,Low,Close,Volume
05-Feb-21,863.8,864.8,828,809,82200
08-Feb-21,2765,2765,2711.1,2721.5,3807824
08-Feb-21,866,895,861,858.9,61800
09-Feb-21,2760,2784,2710.45,2733.35,5586584
09-Feb-21,885,909.9,870,876.5,114600
10-Feb-21,2745.95,2780,2739.2,2747.05,5602915
10-Feb-21,867.65,900,867.65,881.2,73800
11-Feb-21,2744.1,2767.6,2737.45,2767.1,1935639
11-Feb-21,865,880,865,879.85,34800
12-Feb-21,2746,2809,2735.6,2760.6,2921180
12-Feb-21,875.1,915,870,880,28200
15-Feb-21,2819,2868,2805,2791.5,2847445
15-Feb-21,935,948.9,923.2,894.75,97200
16-Feb-21,2871,2896,2838,2860.45,2295100
16-Feb-21,964.95,965,920,931.05,57000
17-Feb-21,2850.25,2856.6,2787.85,2858.65,2874649
17-Feb-21,900,920,885,930,67200
18-Feb-21,2800,2806,2730.1,2805.35,2937262
18-Feb-21,873,875.1,836.9,893.1,36000
19-Feb-21,2725,2765,2714.15,2745.15,2275146
19-Feb-21,829.5,874,816,845.2,33000
22-Feb-21,2741.3,2741.3,2638.15,2741.3,4090709
22-Feb-21,824,829,800.1,841.2,99000
23-Feb-21,2670.35,2677.9,2621,2651.95,3022925
23-Feb-21,825,838,810,823.15,43800
24-Feb-21,2610.1,2723,2610.1,2628.6,2950645
24-Feb-21,838.9,883,833.5,826.2,12000
25-Feb-21,2718.5,2739,2677,2707.75,4758112
25-Feb-21,875,878,865,876,12000
26-Feb-21,2631.05,2631.05,2520,2684.7,8771431
26-Feb-21,825,837,800,865.9,103800
01-Mar-21,2556,2614.6,2548.6,2539.4,3595993
01-Mar-21,844,848,826,806.2,10800
02-Mar-21,2615,2615,2541.4,2606,4086134
02-Mar-21,850,850,817,840,19200
03-Mar-21,2608.9,2664.15,2592.15,2564,5640063
03-Mar-21,850,865,845,833.6,28200
04-Mar-21,2610,2610,2568,2654.9,5315682
04-Mar-21,802.25,830,802.25,857.15,36600
05-Mar-21,2573.6,2579.9,2523.5,2582.95,4254126
05-Mar-21,813.8,826,795,826,52800
08-Mar-21,2555.05,2560,2505.4,2543.9,2179821
08-Mar-21,811,822.5,797,805.1,27000
